major_category	major_preprocessed	major_original	Realistic	Investigative	Artistic	Social	Enterprising	Conventional
	histor preserv danc	Historic Preservation / Dance	0.0	0.1875	0.40625	0.5	0.03125	0.0
	polit	politics	0.0625	0.0625	0.1875	0.375	0.59375	0.0625
	medic assist	Medical Assistant	0.625	0.9375	0.5625	0.78125	0.65625	0.875
	actuari	actuary	0.3125	0.1875	0.375	0.9375	0.90625	0.65625
	languag	Languages	0.0	0.0	0.875	0.1875	0.0	0.0
	theatr	Theatre	0.03125	0.46875	0.8125	0.875	0.0	0.34375
	theatr	theatre	0.09375	0.53125	0.96875	0.875	0.125	0.125
	design	Design	0.6875	0.71875	0.6875	0.3125	0.0	0.0
	hrd od	HRD / OD	0.28125	0.34375	0.53125	0.59375	0.625	0.5625
	medic	medic	0.0	0.59375	0.15625	0.78125	0.40625	0.0
	design	design	0.1875	0.3125	0.65625	0.5	0.40625	0.21875
	inform technolog	Information & Technology	0.125	0.125	0.21875	0.5625	0.15625	0.1875
	logist	logistics	0.28125	0.0625	0.09375	0.34375	0.6875	0.34375
	teach	Teaching	0.78125	0.53125	0.90625	0.75	0.71875	0.59375
	kinesiolog	kinesiology	0.25	0.28125	0.625	0.84375	0.34375	0.125
	biophys	biophysics	0.5	0.96875	0.78125	0.65625	0.53125	0.34375
	inform technolog	IT	0.0625	0.0625	0.5	0.15625	0.09375	0.0625
	teacher	teacher	0.3125	0.625	0.875	0.78125	0.78125	0.53125
	design	Design	0.34375	0.53125	0.65625	0.34375	0.09375	0.03125
	librari	Library	0.78125	0.71875	0.25	0.375	0.0	0.09375
	speech languag patholog	Speech Language Pathology	0.15625	0.40625	0.75	0.90625	0.59375	0.46875
	speech languag patholog	Speech Language Pathology	0.125	0.09375	0.9375	1.0	0.71875	0.5
	occup therapi	Occupational therapy 	0.5	0.84375	0.84375	0.78125	0.25	0.4375
	liber	Liberal Studies	0.0625	0.34375	0.25	0.8125	0.375	0.375
	medic	medic	0.125	0.40625	0.15625	0.53125	0.1875	0.15625
	nanotechnolog	nanotechnology	0.3125	0.65625	0.53125	0.53125	0.59375	0.53125
	histor preserv danc	Historic Preservation / Dance	0.0625	0.1875	0.625	0.59375	0.21875	0.0
	medic assist	Medical Assisting	0.03125	0.3125	0.03125	0.15625	0.125	0.21875
	design	Design	0.25	0.59375	0.84375	0.53125	0.75	0.28125
	mechatron	mechatronic	0.25	0.59375	0.4375	0.6875	0.34375	0.40625
	comput	computer	0.1875	0.40625	0.53125	0.46875	0.59375	0.21875
	design	design	0.34375	0.65625	0.78125	0.71875	0.34375	0.25
	divers acadm knowlag	Diverse acadmic knowlage	0.0	0.375	0.25	0.125	0.125	0.25
	foodservic	Foodservice	0.15625	0.46875	0.6875	0.46875	0.5625	0.40625
	retail	Retailing	0.40625	0.96875	0.5625	0.875	0.5625	0.78125
