major_category	major_preprocessed	major_original	R1	R2	R3	R4	R5	R6	R7	R8	I1	I2	I3	I4	I5	I6	I7	I8	A1	A2	A3	A4	A5	A6	A7	A8	S1	S2	S3	S4	S5	S6	S7	S8	E1	E2	E3	E4	E5	E6	E7	E8	C1	C2	C3	C4	C5	C6	C7	C8
	african american	African American Studies	0	0	0	0	0	1	0	1	0	1	0	1	1	0	1	0	3	2	2	3	3	3	0	1	4	3	1	2	2	0	1	1	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	1
	africana	Africana Studies	1	2	3	3	3	3	1	3	3	2	2	2	2	2	2	1	2	3	4	4	3	3	4	2	4	3	4	3	4	3	3	2	2	1	2	3	2	2	3	2	1	3	2	1	1	2	1	1
	age	Aging	2	1	0	0	0	2	3	1	3	3	3	2	3	2	3	2	0	0	0	0	0	1	0	1	1	1	0	0	0	1	1	1	0	0	0	0	2	0	0	0	0	2	1	1	4	2	1	1
	age care	Aged care	0	0	0	0	0	0	2	0	4	2	0	0	0	0	0	0	0	0	2	2	0	4	0	0	0	2	0	0	0	2	2	2	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0
	aggress medit class	aggression meditation class	2	4	4	4	4	4	4	4	4	2	2	2	2	1	2	2	2	1	1	3	2	3	3	1	3	4	4	4	4	4	4	4	2	3	4	4	3	4	4	3	3	3	3	4	3	3	2	4
	agribusi	Agribusiness	0	2	0	3	0	3	2	3	4	0	0	1	0	0	0	1	4	4	4	4	4	4	0	4	3	3	3	4	3	3	3	3	0	2	3	3	1	3	0	3	0	1	2	1	2	3	0	3
	agribusi	Agribusiness	1	2	0	2	1	3	1	2	1	3	3	1	2	1	1	1	4	4	2	3	3	4	3	3	4	4	3	3	3	3	3	3	1	0	3	2	1	1	3	3	0	0	0	1	1	1	1	1
	agribusi	Agribusiness 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	0	0	0	2	0	0	0	2	4	3	0	0	0	0	0	0	2	0	3	2	0	0	2	0	0	4	0
	agribussi	Agribussiness	3	2	0	2	3	1	3	2	3	4	4	4	2	1	3	1	1	4	4	2	1	1	0	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	4	3	4	3	4	4	0	2	3
	agrisci	Agrisci 	0	0	0	0	0	0	0	0	2	4	0	2	0	2	0	0	0	2	4	2	2	0	4	2	4	0	0	1	0	0	0	0	0	2	2	2	2	0	2	0	0	0	2	0	0	0	0	0
	agrisci educ	Agriscience Education	0	1	1	0	0	2	1	0	3	0	3	2	3	3	2	1	1	1	0	2	1	0	2	1	4	4	2	1	2	3	1	1	1	2	3	0	1	1	0	0	1	2	1	0	3	3	0	1
	agro technolog	agro technology	4	2	2	4	4	2	2	2	3	2	3	4	3	4	3	2	1	4	1	1	4	1	3	2	2	2	4	1	4	4	2	4	2	4	0	2	2	2	0	0	4	4	3	1	2	4	1	2
	agronom engin	Agronomic Engineering	2	2	1	3	0	2	1	0	3	4	4	3	4	4	3	2	4	4	1	4	3	4	3	3	2	3	2	1	3	1	1	1	1	1	1	1	2	1	3	2	2	0	2	1	1	2	2	2
	agronom engin	Agronomic Engineering	3	2	1	1	1	1	1	1	2	3	3	1	3	2	2	1	2	3	3	1	1	1	3	1	3	0	1	1	2	1	0	1	3	2	3	3	2	3	3	3	2	1	2	1	1	1	3	1
	agronom engin	agronomic engineering	2	0	0	0	0	1	0	0	4	3	4	3	4	4	4	1	3	3	1	2	3	4	0	2	2	2	1	0	3	2	2	2	0	1	2	0	3	3	0	1	0	0	1	0	3	2	0	0
	agrotechnolog	agrotechnology	2	2	1	2	1	2	2	2	4	3	4	3	3	2	3	1	4	4	2	2	3	2	2	3	4	3	2	2	3	3	4	3	3	4	4	2	3	3	2	2	4	3	3	2	2	3	2	1
	agrotechnolog	Agrotechnology	2	2	0	0	0	1	1	2	3	3	4	2	3	3	2	1	0	2	2	2	1	2	0	2	2	2	2	3	2	1	1	2	2	2	2	1	2	2	2	2	2	2	1	2	1	1	1	2
	agrotecnolog	agrotecnology	3	1	2	3	2	2	2	2	4	4	4	4	4	4	4	2	3	2	1	2	2	3	2	1	2	2	3	2	4	2	1	1	4	2	2	3	4	1	2	1	3	4	4	4	4	1	2	2
	ai	AI	2	2	0	0	0	0	0	0	4	1	0	4	3	0	0	0	2	2	0	3	1	2	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0
	ai engin	AI engineering	1	0	1	1	1	1	1	2	1	0	1	1	1	0	0	1	1	1	1	1	2	2	1	1	3	3	1	0	2	1	1	2	0	4	0	0	4	1	1	1	0	0	0	1	2	2	2	1
	aid babi	aids babies	2	1	2	1	2	1	4	2	2	3	0	2	1	0	0	1	2	0	3	0	3	0	1	4	2	4	1	1	0	3	0	0	2	3	2	3	4	2	3	3	2	1	4	4	0	0	2	2
	air forc	Air force	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	2	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
	air forc	Air force studies	2	1	4	1	2	1	1	1	3	2	3	2	2	3	4	4	0	1	2	3	4	4	3	3	2	2	3	3	4	2	1	2	4	1	3	1	4	1	4	1	1	2	4	4	3	3	3	2
	air transport	Air Transportation	2	0	0	4	0	0	0	0	3	2	3	3	4	3	3	3	1	1	2	2	2	4	0	1	2	3	0	0	0	2	2	2	2	0	0	0	3	0	2	3	0	2	0	0	2	2	1	2
	air transport	Air Transportation	2	1	1	2	0	1	1	1	3	3	3	1	1	2	1	3	4	2	0	2	3	4	3	1	1	3	1	1	3	2	1	1	0	2	2	1	2	2	2	2	1	2	2	3	1	2	3	3
	air travel	Air Travel	4	0	0	0	0	0	2	0	2	0	0	2	0	0	0	0	1	4	4	4	4	4	4	4	2	4	2	3	2	2	4	4	0	2	3	4	4	4	2	4	4	2	4	4	4	2	4	4
	aircraft	aircraft	2	0	3	3	2	2	1	1	3	1	2	1	1	2	1	2	3	3	4	3	3	4	2	2	4	3	1	2	3	3	1	2	2	2	2	1	2	1	0	2	2	3	1	3	2	2	1	3
	aircraft engin	aircraft engineering	2	0	0	2	3	2	2	0	1	1	0	1	1	1	1	1	2	2	3	1	2	3	2	2	1	4	2	2	2	2	3	3	1	1	1	1	3	1	1	2	0	1	2	2	3	4	1	2
	aircraft engin	Aircraft Engineer	4	2	2	3	4	2	2	2	3	3	3	3	4	4	2	3	1	1	0	0	0	1	4	0	3	1	2	2	2	1	2	2	1	0	1	1	3	0	1	2	2	3	1	3	3	3	1	1
	aircraft engin	aircraft engineering	3	0	0	4	3	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	1	2	0	0	2	1	0	2	2	0	2	0	1	1	0	1	1	0	3	4	1	0
	aircraft engin	Aircraft Engineering	3	1	1	2	1	1	1	0	3	1	1	3	1	0	1	0	1	2	1	1	2	0	1	0	2	2	2	2	2	1	2	1	1	1	1	1	1	1	1	0	1	1	2	1	1	1	0	0
	aircraft engin	aircraft engineering	4	2	4	4	4	4	3	4	3	1	1	2	1	1	1	2	0	1	1	0	0	0	4	0	0	3	0	4	2	0	0	0	0	4	4	3	3	1	0	2	1	4	4	3	4	3	3	4
	aircraft engin	AIRCRAFT ENGINEERING	2	1	1	4	2	1	1	1	2	1	1	2	2	1	1	1	1	2	3	1	1	2	2	1	3	1	2	3	2	1	1	2	2	1	3	2	3	2	1	2	3	1	2	3	2	2	1	1
	aircraft engin	Aircraft Engineering 	0	0	2	0	1	0	1	0	4	3	0	3	1	2	1	2	1	3	0	3	3	4	1	3	4	3	3	3	4	4	2	0	1	2	3	3	4	0	1	1	3	2	3	3	1	3	1	0
	aircraft engin	aircraft engineering	2	2	2	2	4	0	2	0	4	2	2	0	0	2	0	0	2	4	2	4	2	4	2	0	0	2	2	0	0	0	0	2	0	0	4	0	0	0	0	2	2	2	4	0	2	2	0	2
	aircraft engin	aircraft engineering	1	3	3	0	2	1	0	0	2	3	2	3	2	4	1	3	0	1	1	0	0	0	2	1	1	2	1	2	1	2	1	1	2	1	1	1	1	1	1	1	1	1	0	2	0	1	0	2
	aircraft engin	Aircraft engineering	4	0	4	4	0	4	0	0	0	2	0	0	0	4	0	0	0	2	2	0	0	0	0	0	2	0	0	0	2	2	2	2	0	0	0	2	0	2	0	0	0	0	0	0	2	0	0	4
	aircraft engin	Aircraft Engineering	3	1	1	1	1	2	1	1	3	1	1	3	1	1	1	1	1	2	1	1	1	3	1	1	1	2	3	1	3	1	2	0	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1
	aircraft engin	aircraft engineering 	4	2	0	4	1	2	2	1	4	3	2	3	2	2	2	2	4	4	2	4	2	4	1	1	4	3	4	3	4	3	3	3	2	1	2	1	4	2	2	4	2	4	4	1	4	4	3	4
	aircraft maintain	aircraft maintainance	4	4	3	3	3	3	3	3	0	1	1	2	0	1	0	0	1	0	3	1	0	2	0	3	1	4	0	0	0	2	1	3	2	2	2	0	1	1	0	4	0	3	1	2	0	3	0	2
	aircraft maintain engin	Aircraft Maintainence Engineering	4	0	1	3	3	2	1	0	0	0	1	1	0	1	0	1	2	1	0	1	0	0	0	0	3	1	1	2	3	1	2	0	1	0	2	0	1	0	1	0	1	2	2	1	1	1	1	2
	aircraft maintain engin	Aircraft maintainance Engineering	3	1	1	2	1	1	1	0	2	1	2	3	2	0	1	0	2	2	1	1	2	4	0	0	2	3	3	1	3	3	2	2	1	1	1	2	1	1	0	0	1	1	1	2	0	2	0	0
	aircraft mainten	Aircraft Maintenance	2	0	1	2	1	1	1	0	1	1	1	1	0	1	0	0	1	0	0	0	0	2	0	0	1	2	2	1	2	1	2	1	1	1	1	0	2	0	0	0	2	1	0	2	1	2	2	0
	aircraft mainten engin	Aircraft maintenance engineering	2	2	1	3	2	3	2	0	3	3	3	2	2	3	3	3	2	2	3	2	3	3	4	3	1	2	0	2	1	1	2	1	0	0	0	2	2	1	0	4	0	2	2	1	3	2	0	0
	aircraft mainten engin	aircraft maintenance engineering	3	1	1	2	2	2	2	1	1	2	0	0	0	2	0	1	0	2	0	0	1	4	0	3	0	3	0	0	0	0	0	0	0	0	1	0	2	1	0	1	2	2	4	2	3	2	0	2
	aircraft mainten engin	Aircraft Maintenance Engineering	2	3	2	2	2	2	2	2	3	4	3	3	2	2	2	3	2	3	2	2	3	2	3	3	2	3	2	2	3	3	3	3	3	3	2	3	2	2	2	3	2	1	2	2	2	2	2	2
	aircraft mainten technolog	Aircraft Maintenance Technology	3	3	3	3	2	3	3	3	3	4	4	1	4	4	4	2	1	1	0	0	1	2	2	1	0	1	1	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	2	1	1
	aircraft mechan	Aircraft mechanic	0	0	0	4	0	3	0	2	3	2	0	4	0	0	0	2	0	3	4	4	0	0	0	3	4	4	4	4	0	0	4	3	0	0	1	0	3	0	2	4	0	0	1	0	0	0	2	0
	aircraft mechan	Aircraft Mechanics	3	0	1	3	2	3	2	1	1	2	1	1	0	2	0	0	2	1	1	2	1	1	2	1	1	1	2	2	2	1	3	2	3	1	2	1	3	2	2	3	0	2	1	1	3	4	2	2
	aircraft mechan	aircraft mechanics	4	0	0	4	4	4	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	4	4	4	4	4	4	4	0	0	4	0	0	0	0	4	0	4	4	0	4	4	0	4
	airport oper	airport operations	2	2	2	3	0	2	3	0	4	2	1	3	0	0	3	0	0	2	0	0	0	0	0	2	2	4	3	0	3	3	3	3	1	0	0	0	2	2	0	4	2	0	3	0	0	3	0	0
	akauntan	akauntan	4	0	0	0	0	0	0	0	1	1	1	3	1	1	1	1	0	0	2	0	1	0	3	1	3	3	3	4	3	4	4	3	3	3	4	3	4	4	4	1	4	4	4	4	4	4	4	4
	akuntansi	Akuntansi	4	0	1	1	1	2	1	0	4	2	1	1	1	1	1	0	4	2	1	1	1	3	1	1	4	2	2	2	1	2	4	4	4	3	3	2	2	3	3	2	4	4	3	2	3	3	2	3
	alcohol drug	Alcohol and Drug Studies	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	2	2	4	1	4	3	3	3	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
	algebra	Algebra	2	1	1	3	4	1	4	0	2	0	1	4	2	3	2	4	0	1	0	1	1	3	1	1	3	3	4	3	3	1	4	0	4	3	4	4	4	4	4	4	3	4	4	4	4	4	4	4
	algebra	Algebra	3	2	3	3	3	3	3	3	4	3	4	3	4	4	3	4	3	4	4	4	3	4	3	4	2	3	4	3	4	4	3	4	4	4	3	3	4	2	3	3	3	3	4	3	3	3	3	3
	alli health	Allied Health	0	0	0	0	0	0	0	0	4	4	4	4	4	2	0	0	0	0	0	0	0	0	0	0	4	2	4	4	4	4	4	2	0	0	0	0	0	0	0	0	0	0	2	4	3	0	0	0
	alli health	Allied Health	0	0	0	0	0	0	0	0	4	2	2	4	3	3	3	3	3	2	1	2	0	4	3	1	1	2	3	0	3	4	2	3	1	0	1	0	0	0	0	0	2	2	2	1	0	2	0	1
	alli health	Allied Health	2	2	1	1	0	1	1	2	4	4	4	3	4	4	3	3	1	1	3	2	2	3	2	2	4	4	4	4	4	3	3	3	1	0	1	2	2	1	0	1	2	1	1	2	2	2	2	1
	alli health	Allied Health	3	1	1	2	0	1	1	1	4	3	4	4	2	3	2	0	3	3	4	1	1	3	0	3	3	3	4	1	3	4	4	4	2	1	1	1	3	2	1	2	3	2	2	1	2	2	2	1
	alli health	Allied Health	0	0	1	0	0	1	0	2	4	4	4	4	4	2	4	1	0	0	0	0	0	2	0	0	0	4	3	4	1	0	0	2	0	0	2	0	2	0	1	0	0	0	0	0	0	0	2	0
	alli health	Allied Health	3	0	0	2	0	0	2	0	2	3	3	2	3	3	3	3	1	1	2	2	3	2	1	2	1	2	3	2	3	3	3	1	0	0	1	2	2	0	0	3	1	0	0	2	1	2	0	0
	alli health	Allied Health	2	2	0	0	0	0	3	0	4	2	3	3	2	3	2	3	3	1	3	4	2	4	0	3	3	4	0	4	3	3	3	3	2	3	0	3	0	1	0	0	0	2	0	2	1	2	0	0
	alli health	Allied Health	2	3	4	2	2	2	2	1	4	4	3	4	3	3	3	2	0	2	0	2	2	3	0	0	2	2	1	2	3	2	1	1	2	0	2	2	2	1	1	3	1	1	1	0	2	2	1	3
	alli health	allied health	3	4	2	2	2	2	2	3	3	1	1	2	1	1	2	1	3	2	4	2	2	2	2	1	2	2	3	2	3	2	2	2	2	2	4	2	2	3	4	4	4	4	4	4	3	4	4	4
	alli health	allied health	3	1	1	2	0	2	2	1	4	2	2	3	2	2	2	2	2	1	2	2	1	2	3	2	2	3	3	3	3	3	4	4	0	3	1	4	2	3	1	3	1	3	1	1	2	3	1	1
	alli health	allied health	1	3	0	0	0	1	0	2	4	4	4	2	4	3	1	2	0	1	3	2	1	3	1	2	3	3	2	3	2	4	3	4	0	0	1	3	4	3	2	2	1	2	0	1	3	3	3	0
	alli health	Allied Health	1	0	1	0	0	2	1	1	3	3	2	3	0	1	3	1	0	0	0	1	0	1	1	2	2	3	3	3	3	0	1	3	0	3	3	0	3	3	1	3	2	3	3	3	3	3	2	3
	alli heath	Allied Heath 	2	0	0	0	0	0	0	0	4	0	0	0	0	2	2	0	0	0	0	1	0	2	0	0	4	0	0	4	4	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	althic	althices 	2	4	2	4	4	4	0	4	1	1	1	2	0	2	0	3	0	1	0	0	0	3	4	0	2	3	1	2	3	0	3	3	1	4	2	0	4	0	3	2	0	3	1	1	1	3	0	2
	ambientalist engin	Ambientalist engineering	0	4	0	4	4	2	4	2	4	4	3	4	2	4	2	0	4	4	4	4	2	4	4	0	4	4	4	4	0	0	0	0	4	0	4	4	4	4	2	4	4	2	2	4	4	4	4	4
	amciv	AmCiv	0	0	0	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	american	American Studies	3	0	0	1	0	1	2	0	1	0	0	2	0	1	0	0	0	0	0	2	1	1	1	2	1	2	3	3	3	3	3	1	1	1	3	1	3	3	2	1	2	3	2	3	3	3	3	2
	american	American Studies	0	3	0	2	0	2	0	4	4	3	0	0	0	0	0	0	2	3	4	2	4	2	4	4	4	4	2	4	2	4	4	0	3	4	4	4	4	4	4	4	3	4	4	4	4	4	2	4
	american	American Studies	2	2	0	3	0	3	3	2	1	3	3	1	2	3	2	3	4	3	3	4	3	4	0	3	4	4	3	2	2	0	1	0	1	1	1	2	3	1	1	2	0	0	0	1	1	2	0	0
	american	American studies	3	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	2	3	3	1	0	0	1	4	4	0	0	3	0	0	2	3	3	4	0	4	4	4	3	0	0	2	0	0	1	3	2
	american	American Studies	1	0	0	2	1	1	0	1	3	3	3	2	3	3	2	3	2	3	3	3	4	3	3	3	0	3	4	4	4	3	3	1	0	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1
	american	American Studies	1	3	0	1	1	1	2	2	3	3	3	3	3	3	2	3	2	4	3	3	3	4	2	3	4	4	3	3	3	3	4	3	1	1	4	1	3	1	1	3	3	1	2	3	2	3	1	2
	american	american studies	0	3	2	0	0	1	0	1	4	4	4	4	3	4	2	4	4	4	4	4	4	3	4	4	3	4	4	4	4	3	4	1	2	0	3	0	1	0	3	1	0	0	0	0	0	1	2	0
	american	American Studies	3	1	1	2	2	2	2	1	2	2	2	2	2	2	2	2	0	2	3	2	3	1	1	4	3	2	1	1	1	1	1	1	2	1	2	2	1	2	3	2	1	2	2	2	2	2	1	2
	american	American Studies	1	4	4	2	0	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	3	4	4	3	3	4	2	4	3	4	4	0	2	0	1	4	3	1	1
	american	American Studies	2	2	1	1	1	1	1	1	3	2	1	1	1	2	1	2	3	2	3	1	2	2	1	1	3	3	3	3	3	1	2	2	2	2	2	2	2	2	2	1	0	1	1	1	1	1	1	1
	american	American studies	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	2	4	0	4	0	0	0	4	2	2	4	2	2	4	2	2	2	0	2	0	2	2	2	0	0	0	0	0	0	0	0
	american	American Studies	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	4	3	0	3	1	3	2	0	0	2	0	0	0	0	0	0	2	1	1	1	1	1	1
	american	American Studies	2	1	0	1	2	1	0	0	2	2	1	1	1	2	3	2	3	3	3	4	4	4	4	3	3	2	3	2	3	2	2	2	0	0	1	0	2	0	2	0	0	2	0	0	1	0	0	0
	american	American Studies	0	0	0	0	0	0	0	0	2	3	1	2	0	0	0	0	3	4	0	3	3	4	0	2	4	4	2	3	3	4	4	0	3	3	4	0	4	2	4	4	1	0	0	3	1	2	2	0
	american	American Studies	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	2	1	2	3	2	1	2	3	3	2	2	2	2	1	1	1	0	2	2	2	1	1	2	2	1	1	2	2	2	2	2
	american	American Studies	0	0	0	1	0	1	1	1	3	4	3	1	1	2	1	2	2	2	3	2	4	3	1	3	2	3	1	1	1	1	3	0	1	2	2	1	4	3	1	3	2	3	2	2	4	3	2	2
	american	American Studies	2	1	1	1	1	0	1	0	3	1	2	3	3	3	3	0	1	3	3	1	4	3	2	3	4	3	3	3	4	3	3	1	1	1	1	3	4	1	1	1	3	0	3	4	3	1	1	3
	american	American Studies	0	0	0	0	0	0	0	0	3	3	3	0	1	3	3	0	0	1	1	4	4	3	0	0	4	4	2	2	3	2	3	3	0	2	1	1	3	1	2	2	1	0	1	1	0	0	1	0
	american	American studies 	1	0	2	1	1	2	0	0	3	3	1	3	3	2	2	1	2	4	1	3	3	3	0	0	4	3	3	2	4	3	3	2	1	2	2	1	3	1	1	1	0	0	1	1	1	2	1	0
	american	American Studies	0	2	0	1	0	1	0	0	4	3	4	4	4	3	4	3	1	2	1	0	1	2	0	0	4	2	1	1	1	1	2	0	0	1	1	0	3	0	2	0	1	2	2	3	3	2	1	2
	american	American Studies	0	2	0	0	0	2	1	2	3	2	2	0	1	2	0	3	2	4	3	4	4	3	1	3	4	4	4	3	4	3	4	3	0	2	3	2	1	2	2	4	2	2	1	3	1	1	2	2
	american	American Studies	0	0	0	0	0	1	0	0	4	2	0	0	2	2	1	2	2	1	2	3	3	3	0	3	2	2	0	2	3	1	3	1	0	0	2	0	0	1	0	2	0	0	0	0	0	2	0	0
	american	American Studies	0	0	0	0	0	2	0	0	3	1	4	3	3	3	3	3	3	3	4	3	4	2	0	4	2	0	1	0	1	0	2	1	0	0	0	0	3	2	1	3	0	0	0	0	4	4	0	2
	american	Interdisciplinary American Studies	3	2	0	0	0	2	1	0	3	0	0	0	2	2	2	1	0	0	0	0	4	0	3	0	2	2	3	0	3	3	2	2	2	0	2	0	2	1	0	0	1	0	0	1	0	1	0	0
	american	American Studies	0	0	0	1	0	0	0	0	0	1	1	2	1	0	0	0	2	3	2	2	3	3	3	3	4	4	2	2	2	3	4	1	4	2	4	2	4	2	3	3	2	1	2	2	3	2	2	1
	american	American Studies	3	2	0	0	0	3	0	1	3	4	3	2	3	4	3	3	0	1	3	3	4	1	0	0	4	4	4	2	4	3	4	2	0	1	1	0	1	0	2	1	0	2	0	1	0	0	0	0
	american	American Studies	3	2	0	2	1	2	2	3	4	3	3	2	1	3	2	3	1	2	2	3	3	2	4	1	4	4	0	4	3	4	4	2	1	0	1	4	2	2	4	1	0	1	1	2	2	3	2	1
	american	American Studies	2	1	0	0	0	0	0	0	1	2	2	0	1	3	0	2	0	0	1	1	2	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	1	0	0	0
	american	American Studies	0	0	0	0	0	0	0	0	2	3	2	3	3	2	3	4	0	1	0	0	4	0	0	0	4	3	4	4	4	2	4	2	0	2	2	0	4	1	2	2	0	0	0	2	4	3	0	1
	american	American Studies	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	3	2	2	3	1	0	2	4	3	2	1	3	4	4	2	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0
	american	American Studies	0	0	1	0	0	0	0	0	2	2	3	2	3	2	0	0	2	2	3	2	2	2	1	2	2	3	2	3	3	3	2	2	0	2	4	3	3	3	2	3	2	1	2	3	1	2	1	2
	american	American studies	0	1	0	2	0	3	1	1	3	1	2	2	2	2	1	2	3	4	3	2	4	3	3	3	3	4	2	3	2	3	2	1	1	3	1	3	1	3	1	3	0	2	0	0	0	2	0	0
	american cultur	american culture studies	0	1	0	0	0	3	0	2	1	1	1	0	0	1	0	1	0	1	2	2	2	2	1	2	3	3	2	2	3	3	3	2	0	1	1	0	1	1	0	1	0	0	1	0	0	0	0	0
	american educ	American Studies & Education	1	1	0	0	0	2	0	1	3	3	3	1	1	4	1	2	1	0	3	1	1	2	1	2	4	4	3	4	3	4	4	2	0	3	2	2	1	3	4	2	3	2	1	3	2	3	2	2
	american educ	American Studies/Education	0	0	0	0	0	0	0	0	1	2	3	3	3	3	1	0	0	0	0	0	0	1	2	0	4	4	0	3	0	0	3	1	0	0	0	3	4	0	0	0	1	0	1	3	3	2	1	1
	american sign languag	American Sign Language	2	0	0	0	0	0	0	0	2	3	3	0	1	3	1	2	2	3	3	3	4	3	3	3	2	2	2	1	2	1	2	1	2	2	1	1	1	1	1	3	1	1	0	0	0	0	0	0
	american sign languag	American Sign Language	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	2	4	1	1	3	0	2	1	3	3	4	3	4	0	2	0	0	2	2	0	1	2	3	1	1	0	0	0	1	1	1	0
	american sign languag	American sign language	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	4	4	4	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0
	american sign languag	American Sign Language	3	3	1	1	1	2	2	3	4	1	1	1	1	2	1	3	2	2	2	3	3	4	2	3	4	4	4	4	4	3	4	4	1	2	2	2	2	2	2	3	2	3	2	1	1	3	2	2
	american sign languag	american sign language	0	0	0	0	0	0	0	0	0	4	4	4	0	4	0	2	3	4	4	4	4	3	2	4	0	0	4	2	4	2	4	3	0	4	0	2	0	2	2	4	0	0	0	0	0	2	0	0
	american studiess	American Studiess	0	0	0	0	0	0	0	0	1	3	2	1	1	2	1	0	0	3	0	2	2	2	0	0	3	3	3	3	3	2	2	0	4	2	2	1	3	2	3	2	0	1	0	0	0	0	0	0
	anathomi	anathomy	0	0	0	0	0	0	0	0	4	4	4	4	4	3	4	3	2	1	4	3	2	2	0	3	2	4	3	2	2	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	anatomi	anatomy 	0	2	0	3	0	2	4	3	4	0	0	4	0	2	1	2	0	3	2	2	0	1	4	2	0	3	4	4	4	4	4	3	4	4	0	4	0	4	4	4	1	0	0	1	0	0	4	0
	anatomi	Anatomy	3	2	2	1	1	2	1	1	3	3	3	3	3	2	2	1	1	2	3	2	2	2	2	2	3	3	3	1	1	2	2	2	1	2	3	1	3	1	2	2	2	2	2	2	2	2	2	2
	anatomi	the anatomy 	0	0	0	2	0	0	0	1	4	1	0	2	1	1	2	0	2	2	1	1	2	3	0	1	1	1	1	3	2	3	4	0	0	2	2	3	1	2	2	1	0	0	1	1	0	0	0	0
	anatomi	anatomy	2	0	0	1	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	4	4	4	4	4	4	4	4	0	2	2	2	0	1	3	1	3	2	2	2	2	0	0	2
	anatomi	Anatomy	0	1	3	3	0	0	1	0	4	4	4	4	4	4	4	4	3	3	0	0	0	3	0	4	2	4	1	1	1	4	4	3	0	0	3	0	3	0	0	2	3	0	3	3	2	4	1	3
	anatomi	anatomy 	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	4	4	4	4	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
	anatomi	Anatomy	3	0	0	0	2	1	0	0	4	1	0	4	1	0	0	0	3	1	0	4	3	4	0	0	2	4	2	3	4	0	2	2	3	0	2	2	0	0	0	1	0	0	0	4	2	0	0	1
	anatomi	anatomy	4	0	0	2	1	2	2	0	4	2	4	4	4	2	3	0	0	4	2	2	4	3	0	0	2	4	4	4	4	3	2	3	2	2	4	2	4	2	2	3	2	0	0	1	3	2	2	1
	anatomi	anatomy	2	0	0	2	0	0	0	0	4	4	4	4	4	4	4	3	1	2	2	2	1	3	3	1	2	3	2	2	1	2	1	1	2	2	2	2	1	1	0	0	0	1	1	0	1	0	0	0
	anatomi	Anatomy	2	3	0	2	2	3	2	3	3	3	3	2	3	1	2	3	0	0	1	0	0	1	0	1	2	2	0	1	0	1	1	0	0	1	2	0	1	1	0	1	2	2	2	3	2	2	2	2
	anatomi	anatomy 	4	3	2	2	1	1	1	1	4	4	4	3	4	4	3	1	3	1	3	1	2	2	2	1	3	4	2	1	2	1	1	2	2	2	3	1	1	1	1	2	1	2	2	1	1	2	1	1
	anatomi	Anatomy	2	0	0	2	0	0	0	0	4	3	3	4	3	3	3	2	0	2	2	2	2	2	1	0	0	2	0	3	1	0	3	2	0	1	2	0	0	0	0	0	3	1	2	3	3	3	3	3
	anatomi patholog	Anatomy Pathology	0	0	0	0	0	1	3	0	4	0	2	1	2	1	3	0	2	1	0	1	2	3	2	0	4	1	0	1	1	1	1	0	0	2	3	0	2	2	0	2	0	3	2	0	2	3	0	1
